,Team1,Team2,score1,score2
653,Astralis,Apeks,1,2
654,OG,fnatic,2,1
655,EYEBALLERS,The Prodigies,2,0
656,Wildcard,SAW,1,2
657,9INE,BIG,1,2
658,Monte,Ninjas in Pyjamas,2,0
659,Sprout,PGE Turow,2,0
660,Cloud9,Virtus.pro,2,1
661,ARCRED,Preasy,2,0
662,fnatic,Ninjas in Pyjamas,2,0
663,BESTIA,Meta,2,1
664,RED Canids,ODDIK,2,0
665,Sharks,Boca Juniors,2,0
666,FaZe,SAW,2,0
667,The Chosen Few,FTW,2,1
668,Looking4Org,1WIN,0,2
669,Monte,Falcons,2,1
670,Aurora,Eternal Fire,2,1
671,9z,Spirit,2,1
672,Legacy,Flamengo,1,2
673,Ninjas in Pyjamas,Virtus.pro,1,2
674,ALTERNATE aTTaX,GenOne,2,0
675,Preasy,1WIN,1,2
676,Heroic,FURIA,1,2
677,Movistar Riders,Virtus.pro,0,2
678,JANO,PGE Turow,0,2
679,Monte,Wildcard,2,0
680,ECSTATIC,Looking4Org,0,2
681,Preasy,Sangal,2,1
682,Cloud9,fnatic,2,1
683,Meta,Filhos de D10S,2,1
684,Mythic,the jungle,2,0
685,Solid,BESTIA,2,0
686,SNOGARD Dragons,EPIC DUDES,1,0
687,MIBR Academy,ODDIK,0,2
688,Virtus.pro,ECSTATIC,1,2
689,Entropiq,FTW,1,2
690,SSP,Team Ifrit,1,0
691,teamKR,AEX-1,0,1
692,Static,krisp,2,0
693,fnatic,Ninjas in Pyjamas,1,2
694,BIG,Apeks,2,0
695,Falcons,Looking4Org,0,2
696,paiN,RED Canids,,
697,Sashi,GenOne,0,2
698,Espionage,ECLOT,2,0
699,Astralis,9INE,0,2
